CWE,Language,Query id,Query name
CWE-11,C#,cs/web/debug-binary,Creating an ASP.NET debug binary may reveal sensitive information
CWE-12,C#,cs/web/missing-global-error-handler,Missing global error handler
CWE-13,C#,cs/password-in-configuration,Password in configuration file
CWE-14,C/C++,cpp/memset-may-be-deleted,Call tomemsetmay be deleted
CWE-20,GitHub Actions,actions/composite-action-sinks,Composite Action Sinks
CWE-20,GitHub Actions,actions/composite-action-sources,Composite Action Sources
CWE-20,GitHub Actions,actions/composite-action-summaries,Composite Action Summaries
CWE-20,GitHub Actions,actions/reusable-workflow-sinks,Reusable Workflow Sinks
CWE-20,GitHub Actions,actions/reusable-workflow-sources,Reusable Workflow Sources
CWE-20,GitHub Actions,actions/reusable-workflow-summaries,Reusable Workflows Summaries
CWE-20,GitHub Actions,actions/envpath-injection/critical,PATH environment variable built from user-controlled sources
CWE-20,GitHub Actions,actions/envpath-injection/medium,PATH environment variable built from user-controlled sources
CWE-20,GitHub Actions,actions/envvar-injection/critical,Environment variable built from user-controlled sources
CWE-20,GitHub Actions,actions/envvar-injection/medium,Environment variable built from user-controlled sources
CWE-20,C/C++,cpp/count-untrusted-data-external-api,Frequency counts for external APIs that are used with untrusted data
CWE-20,C/C++,cpp/count-untrusted-data-external-api-ir,Frequency counts for external APIs that are used with untrusted data
CWE-20,C/C++,cpp/untrusted-data-to-external-api-ir,Untrusted data passed to external API
CWE-20,C/C++,cpp/untrusted-data-to-external-api,Untrusted data passed to external API
CWE-20,C/C++,cpp/uncontrolled-process-operation,Uncontrolled process operation
CWE-20,C/C++,cpp/unclear-array-index-validation,Unclear validation of array index
CWE-20,C/C++,cpp/uncontrolled-allocation-size,Uncontrolled allocation size
CWE-20,C/C++,cpp/late-check-of-function-argument,Late Check Of Function Argument
CWE-20,C/C++,cpp/linux-kernel-no-check-before-unsafe-put-user,Linux kernel no check before unsafe_put_user vulnerability detection
CWE-20,C#,cs/count-untrusted-data-external-api,Frequency counts for external APIs that are used with untrusted data
CWE-20,C#,cs/serialization-check-bypass,Serialization check bypass
CWE-20,C#,cs/untrusted-data-to-external-api,Untrusted data passed to external API
CWE-20,C#,cs/xml/missing-validation,Missing XML validation
CWE-20,C#,cs/assembly-path-injection,Assembly path injection
CWE-20,Go,go/constant-length-comparison,Constant length comparison
CWE-20,Go,go/count-untrusted-data-external-api,Frequency counts for external APIs that are used with untrusted data
CWE-20,Go,go/incomplete-hostname-regexp,Incomplete regular expression for hostnames
CWE-20,Go,go/incomplete-url-scheme-check,Incomplete URL scheme check
CWE-20,Go,go/regex/missing-regexp-anchor,Missing regular expression anchor
CWE-20,Go,go/suspicious-character-in-regex,Suspicious characters in a regular expression
CWE-20,Go,go/untrusted-data-to-external-api,Untrusted data passed to external API
CWE-20,Go,go/untrusted-data-to-unknown-external-api,Untrusted data passed to unknown external API
CWE-20,Java/Kotlin,java/count-untrusted-data-external-api,Frequency counts for external APIs that are used with untrusted data
CWE-20,Java/Kotlin,java/overly-large-range,Overly permissive regular expression range
CWE-20,Java/Kotlin,java/untrusted-data-to-external-api,Untrusted data passed to external API
CWE-20,Java/Kotlin,java/improper-validation-of-array-construction,Improper validation of user-provided size used for array construction
CWE-20,Java/Kotlin,java/improper-validation-of-array-construction-code-specified,Improper validation of code-specified size used for array construction
